geography_code,gross_acres,illit,unemployed_pct,ho_pct,agecat1,agecat2,agecat3,agecat4,agecat5,agecat6,agecat7,influenza
G17003100310,85.0,368,0.329195034,0.082298759,163,734,464,528,380,1965,757,14
G17003100311,198.0,506,0.306722689,0.057530705,245,1126,723,729,357,2387,615,39
G17003100312,90.3,112,0.373836891,0.052545156,53,239,156,225,177,625,350,8
G17003100313,47.7,496,0.379113019,0.0472103,53,378,261,354,244,993,512,11
G17003100314,159.9,1247,0.320139843,0.028967412,221,1127,834,933,565,3022,1301,49
G17003100315,111.1,275,0.320671563,0.061280168,115,696,484,533,399,1810,727,17
G17003100316,88.1,463,0.320391745,0.061035327,175,870,644,731,506,2015,775,12
G17003100317,120.8,251,0.310908519,0.065073876,100,498,353,416,238,1180,395,10
G17003100318,80.0,341,0.366270698,0.06425486,135,676,518,622,459,2209,933,23
G17003100319,122.4,499,0.344603197,0.055311925,173,792,618,804,588,2689,1401,27
G17003100320,20.2,242,0.324008138,0.04069176,66,261,164,202,154,813,304,4
G17003100321,54.3,395,0.30749354,0.026208933,76,329,223,252,186,1182,457,17
G17003100322,35.9,224,0.329008341,0.051899907,31,183,120,135,81,387,142,5
G17003100323,64.4,666,0.29733935,0.049634355,197,1038,647,728,492,2526,793,25
G17003100324,45.0,134,0.323865391,0.058351343,54,377,245,319,268,1507,466,15
