"Obec / Kandidát (2023-2)";"Petr Pavel";"Andrej Babiš"
"Politická příslušnost";"BEZPP";"ANO"
"Čmelíny";53,24;46,75
"Čtveřín";67,67;32,32
"Čtyřkoly";75,26;24,73
"Čučice";45,6;54,4
"Dačice";54,64;45,35
"Dalečín";63,23;36,76
"Daleké Dušníky";71,32;28,67
"Dalešice (Jablonec nad Nisou, 530425)";74,3;25,69
"Dalešice (Třebíč, 590517)";53,17;46,82
"Dalovice (Karlovy Vary, 537918)";60,61;39,38
"Dalovice (Mladá Boleslav, 570818)";64,05;35,94
"Dambořice";53,85;46,14
"Damnice";33,62;66,37
"Damníkov";42,16;57,83
"Daňkovice";60,2;39,79
"Darkovice";51,42;48,57
"Daskabát";52,95;47,04
"Dasnice";42,18;57,81
"Dasný";67,72;32,27
"Dašice";51,59;48,4
"Davle";74,33;25,66
"Deblín";60,28;39,71
"Děčany";32,7;67,29
"Děčín";46,78;53,21
"Dědice";46,83;53,16
"Dědová";37,5;62,5
"Dehtáře";54,66;45,33
"Děhylov";49,89;50,1
"Děkanovice";54,76;45,23
"Děkov";59,13;40,86
"Děpoltovice";61,25;38,75
"Desná (Jablonec nad Nisou, 563552)";53,65;46,34
"Desná (Svitavy, 572357)";73,54;26,45
"Dešenice";44,27;55,72
"Dešná (Jindřichův Hradec, 546143)";43,1;56,89
"Dešná (Zlín, 585157)";49,53;50,46
"Dešov";58,62;41,37
"Deštná (Blansko, 581518)";34,04;65,95
"Deštná (Jindřichův Hradec, 546151)";68,08;31,91
"Deštné v Orlických horách";82,3;17,69
"Deštnice";26,82;73,17
"Dětenice";44,84;55,15
"Dětkovice (Prostějov, 589420)";53,41;46,58
"Dětkovice (Vyškov, 592978)";50,36;49,63
"Dětmarovice";39,88;60,11
"Dětřichov (Liberec, 546607)";44,38;55,61
"Dětřichov nad Bystřicí";32,72;67,27
"Dětřichov (Svitavy, 577961)";45,5;54,49
"Dětřichov u Moravské Třebové";38,46;61,53
"Dílce";47,22;52,77
"Díly";50,43;49,56
"Dírná";61,56;38,43
"Diváky";41,02;58,97
"Dívčí Hrad";25,75;74,24
"Dívčí Kopy";48,21;51,78
"Dívčice";63,47;36,52
"Divec";70,77;29,22
"Divišov";59,57;40,42
"Dlažkovice";33,33;66,66
"Dlažov";48,48;51,51
"Dlouhá Brtnice";57,54;42,45
"Dlouhá Lhota (Blansko, 581526)";56,94;43,05
"Dlouhá Lhota (Mladá Boleslav, 535656)";67,15;32,84
"Dlouhá Lhota (Příbram, 513504)";61,53;38,46
"Dlouhá Lhota (Tábor, 563650)";75,51;24,48
"Dlouhá Loučka (Olomouc, 501476)";45,3;54,69
"Dlouhá Loučka (Svitavy, 577987)";31,13;68,86
"Dlouhá Stráň";33,84;66,15
"Dlouhá Třebová";61,41;38,58
"Dlouhá Ves (Havlíčkův Brod, 568538)";43,95;56,04
"Dlouhá Ves (Klatovy, 556076)";52,99;47
"Dlouhé";68,6;31,39
"Dlouhomilov";46,01;53,98
"Dlouhoňovice";63,24;36,75
"Dlouhopolsko";55,26;44,73
"Dlouhý Most";62,54;37,45
"Dlouhý Újezd";51,74;48,25
"Dnešice";49,21;50,78
"Dobelice";46,01;53,98
"Dobev";55,35;44,64
"Dobkovice";33,15;66,84
"Dobrá";52,12;47,87
"Dobrá Voda (Pelhřimov, 561932)";60,6;39,39
"Dobrá Voda u Českých Budějovic";63,94;36,05
"Dobrá Voda u Hořic";58,06;41,93
"Dobrá Voda u Pacova";82,08;17,91
"Dobrá Voda (Žďár nad Sázavou, 595489)";60,09;39,9
"Dobratice";58,36;41,63
"Dobrčice";58,59;41,4
"Dobré";59,02;40,97
"Dobré Pole";42,8;57,2
"Dobrkovice";47,43;52,56
"Dobrná";34,85;65,14
"Dobročkovice";57,36;42,63
"Dobročovice";75;25
"Dobrohošť";66,66;33,33
"Dobrochov";53,06;46,93
"Dobroměřice";40;60
"Dobromilice";33,5;66,49
"Dobronice u Bechyně";44,87;55,12
"Dobronín";51,55;48,44
"Dobroslavice";57,66;42,33
"Dobroutov";58,75;41,25
"Dobrovice";61,24;38,75
"Dobrovítov";49,39;50,6
"Dobrovíz";61,47;38,52
"Dobršín";50,64;49,35
"Dobruška";63,16;36,83
"Dobřany (Plzeň-jih, 557676)";54,79;45,2
"Dobřany (Rychnov nad Kněžnou, 576280)";64,7;35,29
"Dobřejovice";70,89;29,1
"Dobřeň";68,85;31,14
"Dobřenice";54,06;45,93
"Dobříč (Plzeň-sever, 558770)";55,25;44,74
"Dobříč (Praha-západ, 539180)";73,26;26,73
"Dobřichov";62,9;37,09
"Dobřichovice";82,91;17,08
"Dobříkov";60,7;39,29
"Dobříň";66,25;33,75
"Dobřínsko";54,16;45,83
"Dobříš";67,18;32,81
"Dobřív";47,48;52,51
"Dobšice (České Budějovice, 536199)";60,34;39,65
"Dobšice (Nymburk, 537101)";58,51;41,48
"Dobšice (Znojmo, 546941)";47,69;52,3
"Dobšín";60,81;39,18
"Dohalice";56,87;43,12
"Doksany";59,14;40,85
"Doksy (Česká Lípa, 561495)";54,29;45,7
"Doksy (Kladno, 532223)";71,87;28,12
"Dolánky nad Ohří";47,65;52,34
"Dolany (Kladno, 513130)";74,35;25,64
"Dolany (Klatovy, 556106)";49,61;50,38
"Dolany nad Vltavou";69,43;30,56
"Dolany (Náchod, 574015)";55,33;44,66
"Dolany (Olomouc, 501646)";62,2;37,79
"Dolany (Pardubice, 574902)";54,58;45,41
"Dolany (Plzeň-sever, 558788)";66,87;33,12
"Dolce";40,88;59,11
"Dolenice";50,52;49,47
"Dolní Bečva";55,22;44,77
"Dolní Bělá";55,03;44,96
"Dolní Benešov";45,06;54,93
"Dolní Beřkovice";52,07;47,92
"Dolní Bezděkov";57,03;42,96
"Dolní Bojanovice";67,85;32,14
"Dolní Bousov";57,83;42,16
"Dolní Branná";66,61;33,38
"Dolní Brusnice";58,95;41,04
"Dolní Břežany";80,87;19,12
"Dolní Bukovsko";53,1;46,89
"Dolní Cerekev";52,16;47,83
"Dolní Čermná";71,29;28,7
"Dolní Dobrouč";65,68;34,31
"Dolní Domaslavice";51,25;48,75
"Dolní Dubňany";59,44;40,55
"Dolní Dunajovice";54,54;45,45
"Dolní Dvořiště";69,45;30,54
"Dolní Dvůr";75;25
"Dolní Habartice";39,23;60,76
"Dolní Hbity";54,91;45,08
"Dolní Heřmanice";60,88;39,11
"Dolní Hořice";46,55;53,44
"Dolní Hradiště";67,39;32,6
"Dolní Hrachovice";54,11;45,88
"Dolní Chvatliny";49,05;50,94
"Dolní Kalná";61,77;38,22
"Dolní Kounice";54,78;45,21
"Dolní Kralovice";50,19;49,8
"Dolní Krupá (Havlíčkův Brod, 568597)";63,15;36,84
"Dolní Krupá (Mladá Boleslav, 535711)";53,96;46,03
"Dolní Lánov";54,17;45,82
"Dolní Lažany";37,75;62,24
"Dolní Lhota (Ostrava-město, 506711)";55,92;44,07
"Dolní Lhota (Zlín, 585173)";61,85;38,14
"Dolní Libochová";50,53;49,46
"Dolní Lochov";53,33;46,66
"Dolní Lomná";52,79;47,2
"Dolní Loučky";59,64;40,35
"Dolní Lukavice";52,37;47,62
"Dolní Lutyně";40,05;59,94
"Dolní Město";49,82;50,17
"Dolní Morava";79,13;20,86
"Dolní Moravice";57,85;42,14
"Dolní Němčí";44,92;55,07
"Dolní Nětčice";48,7;51,29
"Dolní Nivy";44,79;55,2
"Dolní Novosedly";55,47;44,52
"Dolní Olešnice";41,93;58,06
"Dolní Pěna";71,2;28,79
"Dolní Podluží";39,3;60,69
"Dolní Pohleď";45,94;54,05
"Dolní Poustevna";45,35;54,64
"Dolní Přím";63,73;36,26
"Dolní Radechová";61,48;38,51
"Dolní Roveň";56,05;43,94
"Dolní Rožínka";47,76;52,23
"Dolní Rychnov";52,28;47,71
"Dolní Řasnice";33,65;66,34
"Dolní Ředice";58,63;41,36
"Dolní Slivno";59,13;40,86
"Dolní Sokolovec";56,25;43,75
"Dolní Stakory";73,43;26,56
"Dolní Studénky";48,83;51,16
"Dolní Těšice";65,78;34,21
"Dolní Tošanovice";41,23;58,76
"Dolní Třebonín";58,3;41,69
"Dolní Újezd (Přerov, 513199)";39,86;60,13
"Dolní Újezd (Svitavy, 577995)";69,26;30,73
"Dolní Věstonice";47,66;52,33
"Dolní Vilémovice";40;60
"Dolní Vilímeč";56,45;43,54
"Dolní Zálezly";51,57;48,42
"Dolní Zimoř";50,87;49,12
"Dolní Žandov";36,22;63,77
"Dolní Žďár";57,89;42,1
"Dolní Životice";63,13;36,86
"Doloplazy (Olomouc, 568392)";58,99;41
"Doloplazy (Prostějov, 589454)";34,18;65,81
"Domamil";52,73;47,26
"Domanín (Hodonín, 586145)";45,43;54,56
"Domanín (Jindřichův Hradec, 562840)";62,44;37,55
"Dománovice";54,05;45,94
"Domašín";39,17;60,82
"Domašov";67,93;32,06
"Domašov nad Bystřicí";32,86;67,13
"Domašov u Šternberka";44,08;55,91
"Domaželice";44,02;55,97
"Domažlice";54,37;45,62
"Domoraz";36,17;63,82
"Domousnice";48,46;51,53
"Domoušice";40,43;59,56
"Doňov";54,9;45,09
"Doubek";75,45;24,54
"Doubice";68,04;31,95
"Doubrava";26,2;73,79
"Doubravčice";68,24;31,75
"Doubravice (České Budějovice, 535664)";72,09;27,9
"Doubravice nad Svitavou";56,53;43,46
"Doubravice (Strakonice, 550981)";62;38
"Doubravice (Trutnov, 579181)";54,74;45,25
"Doubravička";76,19;23,8
"Doubravník";53,26;46,73
"Doubravy";58,82;41,17
"Doudleby";71,48;28,51
"Doudleby nad Orlicí";48,98;51,01
"Doupě";51,61;48,38
"Doupovské Hradiště";55,12;44,87
"Drahanovice";46,67;53,32
"Drahany";40,31;59,68
"Drahelčice";77,13;22,86
"Drahenice";58,65;41,34
"Drahkov";36,95;63,04
"Drahlín";47,61;52,38
"Drahňovice";72,05;27,94
"Drahobudice";48,22;51,77
"Drahobuz";35,71;64,28
"Drahonice";53,63;46,36
"Drahonín";53,73;46,26
"Drahoňův Újezd";53,84;46,15
"Drahotěšice";60,84;39,15
"Drahotín";49,35;50,64
"Drahouš";37,77;62,22
"Drahov";56;44
"Drachkov";61,73;38,26
"Dráchov";43,79;56,2
"Drásov (Brno-venkov, 582972)";67,39;32,6
"Drásov (Příbram, 540153)";55,51;44,48
"Dražeň";63,54;36,45
"Draženov";55,76;44,23
"Dražice";54,31;45,68
"Dražíč";47,53;52,46
"Dražičky";62,62;37,37
"Drážov";48,1;51,89
"Dražovice (Klatovy, 566683)";41,48;58,51
"Dražovice (Vyškov, 592994)";57,79;42,2
"Dražůvky";51,65;48,34
"Drevníky";53,88;46,11
"Drhovice";52,59;47,4
"Drhovle";56,83;43,16
"Drhovy";63,46;36,53
"Drmoul";54,21;45,78
"Drnek";59,29;40,7
"Drnholec";45,37;54,62
"Drnovice (Blansko, 581551)";58,78;41,21
"Drnovice (Vyškov, 593001)";52,33;47,66
"Drnovice (Zlín, 585190)";60,86;39,13
"Drobovice";34,46;65,53
"Droužetice";57,69;42,3
"Droužkovice";50,74;49,25
"Drozdov (Beroun, 531154)";56,77;43,22
"Drozdov (Šumperk, 570141)";36,05;63,94
"Drslavice (Prachatice, 537187)";59,77;40,22
"Drslavice (Uherské Hradiště, 592153)";65,34;34,65
"Druhanov";56,88;43,11
"Drunče";73,33;26,66
"Druztová";66,74;33,25
"Družec";64,73;35,26
"Drysice";42,17;57,82
"Držkov";58,13;41,86
"Držková";57,81;42,18
"Držovice";55,13;44,86
"Dřenice";51,11;48,88
"Dřešín";48,45;51,54
"Dřetovice";53,01;46,98
"Dřevčice";70,64;29,35
"Dřevěnice";64,64;35,35
"Dřevnovice";38,02;61,97
"Dřevohostice";41,04;58,95
"Dřínov (Kladno, 532291)";45,71;54,28
"Dřínov (Kroměříž, 588431)";30,99;69
"Dřínov (Mělník, 534773)";59,92;40,07
"Dřísy";66,54;33,45
"Dříteč";67,41;32,58
"Dříteň";62,52;37,47
"Dub";49,71;50,28
"Dub nad Moravou";49,45;50,54
"Dubá";52,29;47,7
"Dubany";63,68;36,31
"Dubčany";53,02;46,97
"Dubenec (Příbram, 598381)";32,09;67,9
"Dubenec (Trutnov, 579190)";54,56;45,43
"Dubí";42,6;57,39
"Dubicko";51,52;48,47
"Dubičné";56,03;43,96
"Dublovice";63,17;36,82
"Dubňany";45,13;54,86
"Dubné";70,77;29,22
"Dubnice";40,59;59,4
"Dubno";62,5;37,5
"Dubovice";50;50
"Dudín";43,1;56,89
"Duchcov";32,72;67,27
"Dukovany";53,72;46,27
"Důl";30,95;69,04
"Dunajovice";57,98;42,01
"Dunice";37,25;62,74
"Dušejov";60,2;39,79
"Dušníky";52,8;47,19
"Dvakačovice";59;41
"Dvorce (Bruntál, 597317)";35,19;64,8
"Dvorce (Jihlava, 506729)";48,36;51,63
"Dvory nad Lužnicí";45,71;54,28
"Dvory (Nymburk, 537110)";48,75;51,24
"Dvory (Prachatice, 537144)";62,06;37,93
"Dvůr Králové nad Labem";60,98;39,01
"Dyjákovice";39,5;60,49
"Dyjákovičky";46,4;53,59
"Dyje";41,72;58,27
"Dyjice";65,11;34,88
"Dymokury";54,38;45,61
"Dynín";61,05;38,94
"Dýšina";65,44;34,55
"Dzbel";38,21;61,78
"Džbánice";31,91;68,08
"Džbánov";59,34;40,65
"Ejpovice";62,29;37,7
"Erpužice";35,64;64,35
"Eš";58,82;41,17
"Evaň";44,69;55,3
"Felbabka";55,43;44,56
"Frahelž";57,14;42,85
"Francova Lhota";58,74;41,25
"Františkov nad Ploučnicí";35,34;64,65
"Františkovy Lázně";56,89;43,1
"Frenštát pod Radhoštěm";54,61;45,38
"Fryčovice";50,27;49,72
"Frýdek-Místek";47,63;52,36
"Frýdlant";51,92;48,07
"Frýdlant nad Ostravicí";54,05;45,94
"Frýdštejn";63,86;36,13
"Frymburk (Český Krumlov, 545481)";60,92;39,07
"Frymburk (Klatovy, 578525)";50,66;49,33
"Fryšava pod Žákovou horou";63,56;36,43
"Fryšták";63,31;36,68
"Fulnek";47,03;52,96
"Golčův Jeníkov";51,23;48,76
"Grešlové Mýto";40,8;59,2
"Gruna";45,52;54,47
"Grunta";49,05;50,94
"Grygov";58,1;41,89
"Grymov";35,13;64,86
"Habartice";37,93;62,06
"Habartov";37,89;62,1
"Habrovany (Ústí nad Labem, 567957)";33,58;66,41
"Habrovany (Vyškov, 593028)";54,18;45,81
"Habrůvka";60,55;39,44
"Habry";43,1;56,89
"Habří";63,29;36,7
"Habřina";48,08;51,91
"Hačky";55,12;44,87
"Hadravova Rosička";59,45;40,54
"Háj u Duchcova";50,42;49,57
"Háj ve Slezsku";53,26;46,73
"Hajany (Brno-venkov, 582999)";66,04;33,95
"Hajany (Strakonice, 551597)";68,47;31,52
"Háje";66,36;33,63
"Háje nad Jizerou";61,78;38,21
"Hájek (Karlovy Vary, 538159)";58,73;41,26
"Hájek (Strakonice, 561690)";55,55;44,44
"Hajnice";61,88;38,11
"Halámky";49,25;50,74
"Halenkov";50,44;49,55
"Halenkovice";47,38;52,61
"Haluzice";19,14;80,85
"Halže";44,61;55,38
"Hamr";43,56;56,43
"Hamr na Jezeře";45,6;54,39
"Hamry (Chrudim, 571377)";40,9;59,09
"Hamry (Klatovy, 578240)";47,76;52,23
"Hamry nad Sázavou";67,31;32,68
"Haňovice";54,64;45,35
"Hanušovice";38,1;61,89
"Harrachov";81,39;18,6
"Hartinkov";50;50
"Hartmanice (České Budějovice, 536075)";64,51;35,48
"Hartmanice (Klatovy, 556181)";48,44;51,55
"Hartmanice (Svitavy, 578037)";60,69;39,3
"Hartvíkovice";43,96;56,03
"Haškovcova Lhota";59,18;40,81
"Hať";51,52;48,47
"Hatín";53,42;46,57
"Havířov";40,17;59,82
"Havlíčkova Borová";62,22;37,77
"Havlíčkův Brod";59,6;40,39
"Havlovice";64,74;35,25
"Havraň";33,52;66,47
"Havraníky";51,78;48,21
"Hazlov";40,21;59,78
"Hejná";39,32;60,67
"Hejnice (Liberec, 564044)";52,82;47,17
"Hejnice (Ústí nad Orlicí, 580228)";59,05;40,94
"Hejtmánkovice";46,56;53,43
"Helvíkovice";64,18;35,81
"Herálec (Havlíčkův Brod, 568678)";49,33;50,66
"Herálec (Žďár nad Sázavou, 595594)";49,45;50,54
"Heraltice";49,78;50,21
"Herink";76,53;23,46
"Heroltice";55,24;44,75
"Heršpice";61,97;38,02
"Heřmaň (České Budějovice, 598593)";62,96;37,03
"Heřmaň (Písek, 549398)";44,7;55,29
"Heřmaneč";55;45
"Heřmanice (Havlíčkův Brod, 548596)";50;50
"Heřmanice (Liberec, 544353)";44,02;55,97
"Heřmanice (Náchod, 574040)";46,98;53,01
"Heřmanice u Oder";44,23;55,76
"Heřmaničky";51,97;48,02
"Heřmánkovice";41,85;58,14
"Heřmánky";49;51
"Heřmanov (Děčín, 562483)";32,54;67,45
"Heřmanov (Žďár nad Sázavou, 595608)";54,88;45,11
"Heřmanova Huť";45,4;54,59
"Heřmanovice";34,67;65,32
"Heřmanův Městec";58,49;41,5
"Hevlín";36,08;63,91
"Hladké Životice";39,4;60,59
"Hladov";60,55;39,44
"Hlasivo";58,02;41,97
"Hlásná Třebaň";77,45;22,54
"Hlásnice";66,16;33,83
"Hlavatce (České Budějovice, 535851)";62,24;37,75
"Hlavatce (Tábor, 552321)";68,46;31,53
"Hlavečník";55;45
"Hlavenec";67,56;32,43
"Hlavice";60,29;39,7
"Hlavnice";46,07;53,92
"Hlavňovice";58,38;41,61
"Hlína";63,1;36,89
"Hlince";51,92;48,07
"Hlincová Hora";75;25
"Hlinka";24,09;75,9
"Hlinná";68,39;31,6
"Hlinsko (Chrudim, 571393)";49,33;50,66
"Hlinsko (Přerov, 569267)";34,02;65,97
"Hlízov";67,39;32,6
"Hlohová";53,14;46,85
"Hlohovčice";40,9;59,09
"Hlohovec";50,35;49,64
"Hlohovice";40,19;59,8
"Hlubočany";44,59;55,4
"Hlubočec";51,16;48,83
"Hlubočky";51,02;48,97
"Hluboká";40,95;59,04
"Hluboká nad Vltavou";66,64;33,35
"Hluboké";62,93;37,06
"Hluboké Dvory";47,27;52,72
"Hluboké Mašůvky";40,66;59,33
"Hluboš";62,53;37,46
"Hlubyně";44,44;55,55
"Hlučín";47,34;52,65
"Hluchov";47,5;52,5
"Hluk";54,35;45,64
"Hlupín";50;50
"Hlušice";50,13;49,86
"Hlušovice";69,66;30,33
"Hnačov";42,02;57,97
"Hnanice";47,44;52,55
"Hnátnice";60,82;39,17
"Hněvčeves";56,63;43,36
"Hněvkovice";50,77;49,22
"Hněvnice";47,14;52,85
"Hněvošice";54,75;45,24
"Hněvotín";61,66;38,33
"Hnojice";54,24;45,75
"Hnojník";48,77;51,22
"Hobšovice";54,18;45,81
"Hodějice";52,96;47,03
"Hodětín";39,68;60,31
"Hodice";56,03;43,96
"Hodíškov";69,04;30,95
"Hodkovice nad Mohelkou";60,22;39,77
"Hodonice (Tábor, 562904)";58,82;41,17
"Hodonice (Znojmo, 594067)";46,38;53,61
"Hodonín (Blansko, 581593)";49,42;50,57
"Hodonín (Hodonín, 586021)";48,77;51,22
"Hodonín (Chrudim, 547794)";64,58;35,41
"Hodov";51,3;48,69
"Hodslavice";60,08;39,91
"Hojanovice";63,38;36,61
"Hojkov";63,2;36,79
"Hojovice";52,54;47,45
"Holany";35,11;64,88
"Holasice";63,04;36,95
"Holasovice";43,09;56,9
"Holčovice";26,1;73,89
"Holedeč";42,74;57,25
"Holenice";54,71;45,28
"Holešov";52,4;47,59
"Holetín";48,67;51,32
"Holice";59,05;40,94
"Holín";69,43;30,56
"Holohlavy";55,42;44,57
"Holotín";62,85;37,14
"Holoubkov";47,7;52,29
"Holovousy (Jičín, 572918)";62,9;37,09
"Holovousy (Plzeň-sever, 566730)";68,75;31,25
"Holštejn";59,78;40,21
"Holubice (Praha-západ, 539228)";74,8;25,19
"Holubice (Vyškov, 550825)";67,22;32,77
"Holubov";62,85;37,14
"Holýšov";49,11;50,88
"Homole";71,54;28,45
"Homole u Panny";38,49;61,5
"Honbice";40,42;59,57
"Honětice";31,25;68,75
"Honezovice";36,02;63,97
"Hora Svaté Kateřiny";54,76;45,23
"Hora Svatého Šebestiána";53,33;46,66
"Hora Svatého Václava";78,18;21,81
"Horažďovice";54,13;45,86
"Horčápsko";69,11;30,88
"Horka";59,68;40,31
"Horka I";50;50
"Horka II";55,37;44,62
"Horka nad Moravou";54,75;45,24
"Horka u Staré Paky";62,02;37,97
"Horky (Kutná Hora, 531359)";48,55;51,44
"Horky nad Jizerou";58,6;41,39
"Horky (Svitavy, 578053)";70,32;29,67
"Horní Bečva";58,65;41,34
"Horní Bělá";53,14;46,85
"Horní Benešov";33,73;66,26
"Horní Beřkovice";54,28;45,71
"Horní Bezděkov";70,95;29,04
"Horní Blatná";72,12;27,87
"Horní Bludovice";53,95;46,04
"Horní Bojanovice";49,43;50,56
"Horní Bradlo";45,42;54,57
"Horní Branná";68,82;31,17
"Horní Brusnice";55,82;44,17
"Horní Břečkov";37,98;62,01
"Horní Bříza";54,94;45,05
"Horní Bukovina";59,85;40,14
"Horní Cerekev";61,48;38,51
"Horní Čermná";73,13;26,86
"Horní Domaslavice";56,96;43,03
"Horní Dubenky";44,21;55,78
"Horní Dubňany";35,08;64,91
"Horní Dunajovice";34,44;65,55
"Horní Dvořiště";45,29;54,7
"Horní Habartice";30,46;69,53
"Horní Heřmanice (Třebíč, 590631)";37,77;62,22
"Horní Heřmanice (Ústí nad Orlicí, 580295)";53,95;46,04
"Horní Jelení";55,52;44,47
"Horní Jiřetín";40,78;59,21
"Horní Kalná";68,09;31,9
"Horní Kamenice";52,94;47,05
"Horní Kněžeklady";64,86;35,13
"Horní Kounice";47,05;52,94
"Horní Kozolupy";32,35;67,64
"Horní Krupá";75,3;24,69
"Horní Kruty";66,03;33,96
"Horní Lapač";55,84;44,15
"Horní Lhota (Ostrava-město, 569500)";48,09;51,9
"Horní Lhota (Zlín, 585246)";67,52;32,47
"Horní Libchava";57,17;42,82
"Horní Libochová";35,96;64,03
"Horní Lideč";58,92;41,07
"Horní Loděnice";38,32;61,67
"Horní Lomná";41,29;58,7
"Horní Loučky";47,95;52,04
"Horní Lukavice";56,75;43,24
"Horní Maršov";69,72;30,27
"Horní Město";33,64;66,35
"Horní Meziříčko";37,09;62,9
"Horní Moštěnice";47,69;52,3
"Horní Myslová";85,71;14,28
"Horní Němčí";40,12;59,87
"Horní Němčice";33,33;66,66
"Horní Nětčice";42,02;57,97
"Horní Olešnice";52,04;47,95
"Horní Paseka";53,65;46,34
"Horní Pěna";51,92;48,07
"Horní Planá";52,76;47,23
"Horní Počaply";56,37;43,62
"Horní Podluží";44,13;55,86
"Horní Police";50,27;49,72
"Horní Poříčí (Blansko, 581631)";47,05;52,94
"Horní Poříčí (Strakonice, 536881)";66,14;33,85
"Horní Radechová";59,25;40,74
"Horní Radouň";48,48;51,51
"Horní Radslavice";74,13;25,86
"Horní Rápotice";57,65;42,34
"Horní Rožínka";58,82;41,17
"Horní Řasnice";47,65;52,34
"Horní Ředice";63,8;36,19
"Horní Řepčice";40;60
"Horní Skrýchov";65,11;34,88
"Horní Slatina";57,6;42,39
"Horní Slavkov";41,92;58,07
"Horní Slivno";61,87;38,12
"Horní Smrčné";68,29;31,7
"Horní Smržov";51,31;48,68
"Horní Stropnice";42,08;57,91
"Horní Studénky";61,35;38,64
"Horní Suchá";38,06;61,93
"Horní Štěpánov";42,26;57,73
"Horní Těšice";46,29;53,7
"Horní Tošanovice";48,12;51,87
"Horní Třešňovec";63,29;36,7
"Horní Újezd (Přerov, 569542)";53,92;46,07
"Horní Újezd (Svitavy, 572365)";74,02;25,97
"Horní Újezd (Třebíč, 590649)";66,04;33,95
"Horní Ves";55,1;44,89
"Horní Věstonice";58,02;41,97
"Horní Vilémovice";58,13;41,86
"Horní Vltavice";52,65;47,34
"Horní Životice";27,58;72,41
"Hornice";58,92;41,07
"Hornosín";84,44;15,55
"Horoměřice";76,65;23,34
"Horosedly";58,62;41,37
"Horoušany";76,88;23,11
"Horská Kvilda";89,94;10,05
"Horšice";34,15;65,84
"Horšovský Týn";48,23;51,76
"Horušice";33,98;66,01
"Hory";72,32;27,67
"Hořany";68,13;31,86
"Hořátev";63,84;36,15
"Hořenice";64,19;35,8
"Hořepník";47,31;52,68
"Hořesedly";31,5;68,5
"Hořešovice";46,79;53,2
"Hořešovičky";48,61;51,38
"Hořice (Jičín, 572926)";57,26;42,73
"Hořice na Šumavě";53,56;46,43
"Hořice (Pelhřimov, 547956)";56,48;43,51
"Hořičky";64,57;35,42
"Hořín";66,59;33,4
"Hořiněves";51,16;48,83
"Hořovice";59,51;40,48
"Hořovičky";28,35;71,64
"Hosín";70,54;29,45
"Hoslovice";38,05;61,94
"Hospozín";50,18;49,81
"Hospříz";41,36;58,63
"Hostašovice";52,99;47
"Hostějov";64,51;35,48
"Hostěnice";72,19;27,8
"Hostěradice";36,84;63,15
"Hostěrádky-Rešov";60,59;39,4
"Hostětice";63,51;36,48
"Hostětín";68,21;31,78
"Hostim";40,09;59,9
"Hostín";59,66;40,33
"Hostín u Vojkovic";52,65;47,34
"Hostinné";49,34;50,65
"Hostišová";58,54;41,45
"Hostivice";76,02;23,97
"Hostomice (Beroun, 531201)";63,23;36,76
"Hostomice (Teplice, 567531)";27,59;72,4
"Hostouň (Domažlice, 553689)";39,41;60,58
"Hostouň (Kladno, 532347)";70,17;29,82
"Hostovlice";50,73;49,26
"Hosty";53,33;46,66
"Hošťálková";58,51;41,48
"Hošťálkovy";39,61;60,38
"Hošťalovice";39,02;60,97
"Hoštejn";47,56;52,43
"Hoštice (Kroměříž, 588482)";37,97;62,02
"Hoštice (Strakonice, 551121)";50,54;49,45
"Hoštice-Heroltice";45,55;54,44
"Hoštka";53,51;46,48
"Hošťka";34,55;65,44
"Hovězí";56,97;43,02
"Hovorany";57,88;42,11
"Hovorčovice";70,65;29,34
"Hraběšice";74,61;25,38
"Hraběšín";44,28;55,71
"Hrabětice";28,14;71,85
"Hrabišín";45,59;54,4
"Hrabová";54,04;45,95
"Hrabůvka";49,51;50,48
"Hrabyně";49,44;50,55
"Hradce";83,33;16,66
"Hradčany (Brno-venkov, 583065)";63,45;36,54
"Hradčany (Nymburk, 537161)";57,41;42,58
"Hradčany (Přerov, 513733)";55,27;44,72
"Hradčany-Kobeřice";41,9;58,09
"Hradčovice";57,33;42,66
"Hradec (Havlíčkův Brod, 568724)";58,33;41,66
"Hradec Králové";65,83;34,16
"Hradec nad Moravicí";49,52;50,47
"Hradec nad Svitavou";41,38;58,61
"Hradec (Plzeň-jih, 557731)";53,14;46,85
"Hradec-Nová Ves";38,7;61,29
"Hradečno";68,2;31,79
"Hrádek (Frýdek-Místek, 512176)";54,06;45,93
"Hrádek (Hradec Králové, 570052)";36,97;63,02
"Hrádek (Klatovy, 556301)";54,96;45,03
"Hrádek nad Nisou";48;51,99
"Hrádek (Rokycany, 559822)";46,66;53,33
"Hrádek (Ústí nad Orlicí, 547972)";63,76;36,23
"Hrádek (Znojmo, 594148)";29,72;70,27
"Hradešice";60,66;39,33
"Hradešín";74,73;25,26
"Hradiště (Benešov, 532932)";55;45
"Hradiště (Domažlice, 566179)";67,36;32,63
"Hradiště (Plzeň-jih, 557749)";61,76;38,23
"Hradiště (Rokycany, 541001)";69,69;30,3
"Hradištko (Nymburk, 537179)";73,52;26,47
"Hradištko (Praha-západ, 539252)";74,01;25,98
"Hracholusky (Prachatice, 550221)";51,47;48,52
"Hracholusky (Rakovník, 565202)";61,81;38,18
"Hrachoviště";40,38;59,61
"Hranice (České Budějovice, 544540)";53;47
"Hranice (Cheb, 554553)";39,38;60,61
"Hranice (Přerov, 513750)";51,96;48,03
